	cover		1.000	None	Luca Enoch	Luca Enoch	?	typeset	None							
	advertisement		1.000	None	None	None	None	typeset	None						Pubblicità per Sicof '93.	
	credits, title page		0.250	None	None	None	None	typeset	None							
	table of contents		0.750	None	None	None	None	typeset	None							
["Tu lo sai cosa dicono di me?"]	cartoon	I Mitici	1	Massimo Cavezzali	Massimo Cavezzali	Massimo Cavezzali	?	Massimo Cavezzali	None	satire-parody						
Il Grande Raffreddore	comic story		14	Giuseppe De Nardo ; Giuliano Piccininno	Giuliano Piccininno	Giuliano Piccininno	?	Giuliano Piccininno	None	humor; science fiction						
L'Ultima Speranza	comic story	Alien	23	Carmelo Gozzo	Dino Simeoni	Dino Simeoni	?	Dino Simeoni	None	science fiction; horror-suspense; crime						
["Ieri sera ho corso un grosso pericolo..."]	cartoon	I Mitici	1.000	Massimo Cavezzali	Massimo Cavezzali	Massimo Cavezzali	?	Massimo Cavezzali	None	satire-parody						
Razzismo	comic story	Billitteri	4	Giuseppe De Nardo	Bruno Brindisi; Luigi Siniscalchi; Roberto De Angelis	Bruno Brindisi; Luigi Siniscalchi; Roberto De Angelis	?	Bruno Brindisi; Luigi Siniscalchi; Roberto De Angelis	None	domestic; teen; humor						
["Il calippo!!"]	cartoon	I Mitici	1.000	Massimo Cavezzali	Massimo Cavezzali	Massimo Cavezzali	?	Massimo Cavezzali	None	satire-parody						
	letters page		3.000	? [as Sauro]	None	None	None	typeset	None						Lettere di Emanuela, Dana Cipriano, Nello, F. Disegni	
Cuore Nero	comic story		23	Michelangelo La Neve	Lucia Arduini	Lucia Arduini	?	Lucia Arduini	None	fantasy-supernatural; crime					Prima parte. Seconda parte sul prossimo numero.	
	promo (ad from the publisher)		1.000	None	None	None	None	typeset	None						Le storie del prossimo numero.	
	advertisement		1.000	None	None	None	None	typeset	None						Pubblicità per l'Associazione Italiana Contro l'Epilessia.	
	promo (ad from the publisher)		1.000	None	None	None	None	typeset	None						Pubblicità per le ristampe anastatiche di Intrepido.	
[quarta di copertina (back cover)]	advertisement		1.000	None	None	None	None	typeset	None						Pubblicità per lo snack Lion.	
